quest	title	status	notes
10999	One Shot, One Kill	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11335	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11336	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11337	Call to Arms: Eye of the Storm	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11338	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11339	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11340	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11341	Call to Arms: Eye of the Storm	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11342	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
11401	Call the Headless Horseman	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11402	Clayton's Quest: Extreme!!	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11404	Call the Headless Horseman	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11405	Call the Headless Horseman	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11496	The Sanctum Wards	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11513	Intercepting the Mana Cells	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11520	Discovering Your Roots	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11524	Erratic Behavior	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11532	Distraction at the Dead Scar	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11535	Making Ready	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11539	Taking the Harbor	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11542	Intercept the Reinforcements	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11545	A Charitable Donation	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
11691	Summon Ahune	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
12001	zzOLDHunting Tarot: Lesser Beasts	placeholder_or_obsolete	Development/obsolete title; not safe to expose as a playable quest.
12062	Insult Coren Direbrew	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
13405	Call to Arms: Strand of the Ancients	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
13407	Call to Arms: Strand of the Ancients	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
13427	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
13428	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
13627	Jack Me Some Lumber	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
13681	A Chip Off the Ulduar Block	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
13692	The Sword and the Sea	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
14163	Call to Arms: Isle of Conquest	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14164	Call to Arms: Isle of Conquest	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14178	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14179	Call to Arms: Eye of the Storm	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14180	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14181	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14182	Call to Arms: Eye of the Storm	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14183	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
14488	You've Been Served	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
24216	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24217	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
